id,text,label,language
text_001,Alice was beginning to get very tired of sitting by her sister on the bank.,normal,en
text_002,,empty,en
text_003,Short.,short,en
text_004,rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit ,repetition,en
text_005,,missing_text,en
text_006,The rabbit-hole went straight on like a tunnel for some way.,normal,en
text_007,The rabbit-hole went straight on like a tunnel for some way.,duplicate,en
text_008,ï»¿ï»¿ï»¿ï»¿ Alice,noise,unknown
text_009,This is a deliberately long sample. This is a deliberately long sample. This is a deliberately long sample. This is a deliberately long sample. This is a deliberately long sample. This is a deliberately long sample. This is a deliberately long sample. This is a deliberately long sample. This is a deliberately long sample. This is a deliberately long sample. This is a deliberately long sample. This is a deliberately long sample. This is a deliberately long sample. This is a deliberately long sample. This is a deliberately long sample. This is a deliberately long sample. This is a deliberately long sample. This is a deliberately long sample. This is a deliberately long sample. This is a deliberately long sample. This is a deliberately long sample. This is a deliberately long sample. This is a deliberately long sample. This is a deliberately long sample. This is a deliberately long sample. This is a deliberately long sample. This is a deliberately long sample. This is a deliberately long sample. This is a deliberately long sample. This is a deliberately long sample. This is a deliberately long sample. This is a deliberately long sample. This is a deliberately long sample. This is a deliberately long sample. This is a deliberately long sample. This is a deliberately long sample. This is a deliberately long sample. This is a deliberately long sample. This is a deliberately long sample. This is a deliberately long sample. ,long,en
,Missing id sample for schema completeness checks.,missing_id,en
